category,year,brand,n_users,unique_users,purchase_count,product_count,avg_price,avg_rating,waterproof_share,party_share,voice_assistant_share,market_size,market_purchases,category_year_total_purchases,user_share,brand_share,log_brand_share,raw_brand_share,provided_dprime,provided_revenue,provided_elasticity,provided_markup,provided_marginal_cost,provided_profit
bluetooth_speakers,2015,Anker,79,79,79,1.0,63.32987341772152,4.529113924050633,0.0,0.0,0.0,20029,20029,20029,0.003944280792850367,0.0109312301093123,-4.516131438815959,0.003944280792850367,-4.986486719387564,5228.3981388753555,-3.8235024455025473,16.556379199059016,46.773494218662506,1366.86428567299
bluetooth_speakers,2015,Bose,4212,4212,4212,1.0,141.1898551756885,4.533974358974358,0.0,0.0,0.0,20029,20029,20029,0.21029507214538917,0.5828144458281445,-0.539886418029115,0.21029507214538917,-112.44561855144612,292006.078888253,-6.758299899526688,18.39271587256476,122.79713930312374,38039.45287266054
bluetooth_speakers,2015,JBL,2832,2832,2832,1.0,78.03533192090396,4.3835098870056495,0.00035310734463276836,0.0,0.0,20029,20029,20029,0.14139497728293973,0.39186384391863843,-0.9368408364693707,0.14139497728293973,-224.28379733115563,382256.7786234687,-4.061194838382813,21.84067282316344,56.19465909774051,106986.73319944133
bluetooth_speakers,2015,OontZ,104,104,104,1.0,45.456538461538464,3.6596153846153845,0.0,0.0,0.9038461538461539,20029,20029,20029,0.005192470917170103,0.014390480143904802,-4.241188392141608,0.005192470917170103,-7.19399513032494,5424.2048078645885,-2.7409716477427435,16.587066236397227,28.869472225141237,1979.289393185113
bluetooth_speakers,2016,Anker,2982,2982,2982,1.0,37.25485915492958,4.679376257545272,0.0,0.0,0.0,26429,26429,26429,0.11283060274698248,0.22182548538272706,-1.505864308129569,0.11283060274698248,-121.67044785627319,81504.1702481859,-2.0033581502026174,17.980915410873273,19.273943744056304,39337.67632220739
bluetooth_speakers,2016,Bose,5008,5008,5008,1.0,139.0765035942492,4.538218849840256,0.0,0.0,0.0,26429,26429,26429,0.1894888191002308,0.372535892285948,-0.9874218906743184,0.1894888191002308,-180.84978021407713,476697.85880223213,-6.832535440040921,18.95271587262516,120.12378772162404,64962.22468552968
bluetooth_speakers,2016,DOSS,1,1,1,1.0,67.98,4.2,0.0,0.0,0.0,26429,26429,26429,3.7837224261228196e-05,7.438815740534106e-05,-9.506213803454253,3.7837224261228196e-05,-1.5502060445364987,1739.2328578003153,-4.1203475131542575,16.503921351621926,51.47607864837808,422.244223261151
bluetooth_speakers,2016,JBL,5361,5361,5361,1.0,93.27042529378848,4.484760305913076,0.13094571908226077,0.0,0.0,26429,26429,26429,0.20284535926444436,0.39879491185003346,-0.9193079996267151,0.20284535926444436,-211.15379256503948,385010.38779592916,-4.506668926480491,19.54922764420419,73.72119764958428,80697.13087184998
bluetooth_speakers,2016,OontZ,91,91,91,1.0,51.715274725274725,3.8714285714285714,0.0,0.0,0.10989010989010989,26429,26429,26429,0.003443187407771766,0.006769322323886037,-4.9953542969374025,0.003443187407771766,-1.9185357977278266,1637.858486819699,-3.1238488884077715,16.50774046392209,35.207534261352635,522.8115476651975
bluetooth_speakers,2017,Anker,6437,6437,6437,1.0,38.56026099114494,4.667531458754079,0.18440267205219824,0.16280876184558024,0.0,29702,29702,29702,0.21671941283415258,0.4021616893664875,-0.9109010588743758,0.21671941283415258,-375.81469194462886,340124.3518901278,-1.8307390562124841,23.47059007191161,15.089670919233335,207024.51258099676
bluetooth_speakers,2017,Bose,3310,3310,3310,1.0,168.2672930513595,4.528398791540785,0.036858006042296075,0.0,0.0,29702,29702,29702,0.1114403070500303,0.2067974509558915,-1.576015462555883,0.1114403070500303,-57.36820299895388,164600.3216370911,-9.062654757914949,17.05138753957784,151.21590551178167,16679.794524991456
bluetooth_speakers,2017,DOSS,349,349,349,1.0,41.19300859598854,4.582808022922635,0.9570200573065902,0.0,0.0,29702,29702,29702,0.01175005050164972,0.02180432337873297,-3.8256470087245646,0.01175005050164972,-13.276755309297702,9085.086172597812,-2.4675129020488265,16.61168117572648,24.581327420262056,3663.6934299548293
bluetooth_speakers,2017,JBL,5621,5621,5621,1.0,94.47157445294431,4.547802882049457,0.36541540651129695,0.0010674257249599715,0.0,29702,29702,29702,0.1892465153861693,0.351180807197301,-1.0464540679249166,0.1892465153861693,-285.5728892968509,554755.1428616196,-4.64257679271168,20.56284529827524,73.90872915466908,120748.95805582225
bluetooth_speakers,2017,OontZ,289,289,289,1.0,45.30460207612457,4.542214532871972,0.9307958477508651,0.0,0.020761245674740483,29702,29702,29702,0.009729984512827418,0.0180557291015869,-4.01429224281456,0.009729984512827418,-48.780761143037445,37486.00311064242,-2.719349751061073,16.962046294333227,28.34255578179134,14034.762276111507
bluetooth_speakers,2018,Anker,4751,4751,4751,1.0,45.84139549568512,4.650199957903599,0.4291728057251105,0.2532098505577773,0.0,32500,32500,32500,0.14618461538461539,0.30824628560306233,-1.1768561869597984,0.14618461538461539,-340.08826615184597,330549.84916038124,-2.3724164389197306,21.202520189830764,24.638875305854356,152885.6129876801
bluetooth_speakers,2018,Bose,2998,2998,2998,1.0,157.6827718478986,4.661007338225483,0.3725817211474316,0.0,0.0,32500,32500,32500,0.09224615384615385,0.194511126970739,-1.6372659094841768,0.09224615384615385,-152.2041736390405,432286.0888562558,-8.676038333437827,18.011938391288826,139.67083345660978,49379.58857928239
bluetooth_speakers,2018,DOSS,561,561,561,1.0,41.68873440285205,4.599286987522281,0.9982174688057041,0.0,0.0,32500,32500,32500,0.01726153846153846,0.03639784597417764,-3.3132456826240237,0.01726153846153846,-20.557296997416596,14281.320979042956,-2.4832805282048716,16.664168909565895,25.024565493286154,5708.648834161237
bluetooth_speakers,2018,JBL,5072,5072,5072,1.0,106.00729100946371,4.6036474763406945,0.5532334384858044,0.026813880126182965,0.0,32500,32500,32500,0.15606153846153847,0.3290728605722442,-1.1114760920296578,0.15606153846153847,-249.9692220115406,513705.5464751333,-5.422700704276222,19.38616835363729,86.62112265582643,93944.31376682493
bluetooth_speakers,2018,OontZ,2031,2031,2031,1.0,45.83364352535697,4.598818316100442,0.9798129000492368,0.0,0.0004923682914820286,32500,32500,32500,0.062492307692307694,0.13177188087977681,-2.026683026566335,0.062492307692307694,-94.88652476662055,75550.23429848753,-2.6045238659890866,17.37188285257105,28.461760672785918,28635.074996634776
bluetooth_speakers,2019,Anker,7821,7821,7821,1.0,52.49146017133359,4.651566295870094,0.5436644930315816,0.21851425648894005,0.0,48480,48480,48480,0.16132425742574258,0.3234758871701547,-1.1286307051603257,0.16132425742574258,-336.4969978339924,335613.2652177792,-2.6684056687028295,19.000685536763914,33.490774634569675,121484.18225660418
bluetooth_speakers,2019,Bose,3855,3855,3855,1.0,181.75665110246433,4.658287937743191,0.33229571984435796,0.0,0.0,48480,48480,48480,0.07951732673267327,0.15944246835966583,-1.8360721217645073,0.07951732673267327,-119.10505109551282,372753.6523454837,-10.140866115031102,17.21874187395279,164.53790922851155,35312.869616483564
bluetooth_speakers,2019,DOSS,1451,1451,1451,1.0,46.544100620261894,4.589800137835975,0.8980013783597519,0.0,0.0,48480,48480,48480,0.02992986798679868,0.06001323517247084,-2.8131901548777494,0.02992986798679868,-57.80708569228878,45273.53002814018,-2.7367611409342145,16.826687926388143,29.71741269387375,16367.349480544992
bluetooth_speakers,2019,JBL,7380,7380,7380,1.0,111.74865311653117,4.675040650406505,0.7464769647696476,0.054607046070460706,0.0,48480,48480,48480,0.15222772277227722,0.3052361651087766,-1.1866694901674189,0.15222772277227722,-529.1770126213588,1276358.1692609328,-5.742362791848948,21.583868917653945,90.16478419887723,246524.20095459215
bluetooth_speakers,2019,OontZ,3671,3671,3671,1.0,49.46790247888859,4.599101062380822,0.8883138109506946,0.0,0.00027240533914464724,48480,48480,48480,0.07572194719471947,0.1518322441889321,-1.8849790242651028,0.07572194719471947,-287.1131822559572,263130.2189071568,-2.7713747484144537,18.52653060996288,30.94137186892571,98546.52836897883
bluetooth_speakers,2020,Anker,8119,8119,8119,1.0,51.695324547358055,4.654945190294371,0.6008129079935953,0.2947407316171942,0.0,55590,55590,55590,0.14605144810217666,0.34031940311019826,-1.077870681439252,0.14605144810217666,-459.1274515449593,467625.25576782157,-2.675790401179573,19.702141427406534,31.99318311995152,178221.51238695774
bluetooth_speakers,2020,Bose,3534,3534,3534,1.0,161.099052065648,4.697707979626486,0.37492925863044707,0.0,0.0,55590,55590,55590,0.06357258499730167,0.14813262354864398,-1.909647301422057,0.06357258499730167,-365.37348569139544,1107960.7100528325,-9.14400012887203,18.82323856718617,142.27581349846184,129457.0545324801
bluetooth_speakers,2020,DOSS,1579,1579,1579,1.0,53.50804939835339,4.567827739075364,0.6725775807473084,0.0,0.0,55590,55590,55590,0.02840438927864724,0.06618602506601835,-2.7152859400460563,0.02840438927864724,-58.543636740176034,52582.04056184328,-3.1511841427014025,16.785667616894493,36.7223817814589,16495.175313124506
bluetooth_speakers,2020,JBL,7805,7805,7805,1.0,125.11452786675208,4.72598334401025,0.8749519538757207,0.09891095451633568,0.0,55590,55590,55590,0.14040295017089405,0.3271576476505847,-1.117313121352166,0.14040295017089405,-320.48646523609693,740111.3693037014,-6.518861837126993,18.457787475727798,106.65674039102429,109186.5077213614
bluetooth_speakers,2020,OontZ,2820,2820,2820,1.0,51.81283687943263,4.576347517730496,0.9588652482269504,0.0,0.0,55590,55590,55590,0.050728548300053966,0.11820430062455463,-2.1353407903695394,0.050728548300053966,-131.67567416705134,117280.03872000772,-2.9812398008526015,17.19020985367367,34.62262702575896,38910.598196644874
bluetooth_speakers,2021,Anker,6288,6288,6288,1.0,58.18609096692112,4.667016539440204,0.6048027989821882,0.2514312977099237,0.0,51114,51114,51114,0.12301913370113864,0.3373209591760099,-1.086720400760203,0.12301913370113864,-335.8002518580749,367757.65059388435,-3.092989307246304,18.821815725634902,39.36427524128622,118960.84813646629
bluetooth_speakers,2021,Bose,1860,1860,1860,1.0,159.29370430107525,4.698602150537634,0.5177419354838709,0.0,0.0,51114,51114,51114,0.036389247564268104,0.09978005471809451,-2.3047869681619986,0.036389247564268104,-337.2896857134817,1012000.9500940858,-9.30399285016533,18.835590840063695,140.45811346101155,119663.4600806333
bluetooth_speakers,2021,DOSS,2118,2118,2118,1.0,54.0952880075543,4.572662889518414,0.8564683663833805,0.003777148253068933,0.0,51114,51114,51114,0.041436788355440776,0.11362051392092698,-2.1748912087078938,0.041436788355440776,-43.06728137245044,38963.45431380279,-3.143035697085534,16.724400431746147,37.370887575808155,12046.15847607807
bluetooth_speakers,2021,JBL,6184,6184,6184,1.0,150.17017949547218,4.742577619663648,0.8758085381630013,0.18289133247089262,0.0,51114,51114,51114,0.12098446609539461,0.33174185934230993,-1.1033981446019878,0.12098446609539461,-259.98819299774857,709509.5819268755,-8.001093926115288,18.17276202909781,131.99741746637437,85860.91348522725
bluetooth_speakers,2021,OontZ,2191,2191,2191,1.0,54.52220903696942,4.5561387494294845,0.9977179370150616,0.0,0.0,51114,51114,51114,0.042864968501780336,0.11753661284265866,-2.141005395273779,0.042864968501780336,-114.24343813219488,106807.16335333147,-3.1631207725867876,17.147297106904688,37.374911930064734,33590.97504511305
bluetooth_speakers,2022,Anker,5018,5018,5018,1.0,64.2230829015544,4.66931048226385,0.6006377042646472,0.2538860103626943,0.0,37194,37194,37194,0.13491423347851805,0.3168929586359331,-1.1491912320463724,0.13491423347851805,-226.1111098657948,270047.10975409334,-3.3675917317378947,18.596297382958696,45.62678551859571,78194.25872304334
bluetooth_speakers,2022,Bose,2395,2395,2395,1.0,148.79259290187892,4.761210855949896,0.9148225469728601,0.0,0.0,37194,37194,37194,0.06439210625369683,0.15124723713293337,-1.8888394491277247,0.06439210625369683,-223.9004824656156,618646.0329170554,-8.438093009967545,18.569742901428263,130.22285000045065,77208.80155529019
bluetooth_speakers,2022,DOSS,1001,1001,1001,1.0,53.1438061938062,4.568831168831169,0.8801198801198801,0.015984015984015984,0.0,37194,37194,37194,0.026912942947787278,0.06321439848437006,-2.7612231796575197,0.026912942947787278,-40.63838050133999,36276.6638845241,-3.134537505022393,16.797254142938208,36.34655205086799,11466.027489715587
bluetooth_speakers,2022,JBL,6084,6084,6084,1.0,140.1184845496384,4.7554240631163704,0.9324457593688363,0.17061143984220908,0.0,37194,37194,37194,0.1635747701242136,0.3842121881907168,-0.9565603055935566,0.1635747701242136,-317.7662237790616,884678.9727766669,-7.103815522149916,19.869298780579754,120.24918576905864,125450.62053371558
bluetooth_speakers,2022,OontZ,1337,1337,1337,1.0,58.920351533283466,4.535228122662677,0.9992520568436799,0.0,0.0,37194,37194,37194,0.03594665806312846,0.08443321755604673,-2.4717943818707973,0.03594665806312846,-65.62399204968813,65730.16553692214,-3.442988028323445,16.999523602540787,41.920827930742675,18964.270771748954
bluetooth_speakers,2023,Anker,1792,1792,1792,1.0,63.45040736607143,4.67109375,0.5329241071428571,0.24107142857142858,0.0,13924,13924,13924,0.12869864981327206,0.33570625702510304,-1.0915187364295937,0.12869864981327206,-75.91770911667112,88267.15832026702,-3.350980654264628,18.324057081916266,45.126350284155166,25490.97026576358
bluetooth_speakers,2023,Bose,784,784,784,1.0,145.7590943877551,4.754336734693877,0.9017857142857143,0.0,0.0,13924,13924,13924,0.05630565929330652,0.14687148744848258,-1.9181973096140617,0.05630565929330652,-73.19597837193544,194629.53374049574,-8.337505449813142,18.242563252635808,127.51653113511931,24358.971184650014
bluetooth_speakers,2023,DOSS,330,330,330,1.0,54.462515151515156,4.571818181818181,0.7606060606060606,0.03333333333333333,0.0,13924,13924,13924,0.023700086182131572,0.0618209067066317,-2.7835136755039436,0.023700086182131572,-19.340183310300972,17785.530604953423,-3.2229239932605114,16.885290873390563,37.57722427812459,5514.138610138607
bluetooth_speakers,2023,JBL,2140,2140,2140,1.0,153.82170093457944,4.736168224299065,0.8962616822429906,0.25794392523364484,0.0,13924,13924,13924,0.15369146796897443,0.40089921318846006,-0.9140452219485724,0.15369146796897443,-87.88812812109525,252832.57422999816,-7.890698463223043,18.70187725543784,135.1198236791416,30739.77040103603
bluetooth_speakers,2023,OontZ,292,292,292,1.0,57.83232876712329,4.541438356164384,0.9965753424657534,0.0,0.0,13924,13924,13924,0.020970985349037633,0.05470213563132259,-2.905852527696188,0.020970985349037633,-20.37010990312586,19917.9598017117,-3.4319058285454873,16.907554606578447,40.92477416054484,5823.109672016523
